,score_qa_distilbert
165,0.0009001423604786396
166,0.0003527447406668216
167,0.0007927597034722567
168,0.00035954054328612983
169,0.0007466154638677835
170,0.0001689241180429235
171,0.00015822476416360587
172,0.0004221891285851598
173,0.00012947739742230624
174,0.00037714189966209233
175,0.00015183247160166502
176,0.0001599500683369115
177,0.00013059613411314785
178,0.0010530551662668586
179,0.0003565400547813624
180,0.0005684836069121957
181,0.0003977898450102657
182,0.0004986297572031617
183,0.0005783229717053473
184,0.00019493362924549729
185,0.0003055666165892035
186,0.0007623936398886144
187,0.002654938492923975
188,0.0004327775677666068
189,0.0005101630231365561
190,0.000517622334882617
191,0.0005181771703064442
192,0.00031231032335199416
193,0.00039217714220285416
194,0.0005502101848833263
195,0.0004018127510789782
196,0.0008457573130726814
197,0.0003519757592584938
198,0.0009619395132176578
199,0.00044606803567148745
200,0.0005820698570460081
201,0.00032954334164969623
202,0.00033999618608504534
203,0.000540349748916924
204,0.00012111185787944123
205,0.00023099628742784262
206,8.764072845224291e-05
207,0.0005292873829603195
208,0.00022639389499090612
209,0.00013796688290312886
210,0.0001331601815763861
211,0.00029906645067967474
212,0.00015073565009515733
213,0.00010351148375775665
214,7.656293018953875e-05
215,0.0011583425803110003
216,0.00015655501920264214
217,0.00034160210634581745
218,9.780500113265589e-05
219,0.00026169107877649367
220,0.00012392665666993707
221,0.0007538714562542737
222,0.00024161463079508394
223,0.0004909683484584093
224,0.00029032325255684555
225,0.00033960104337893426
226,0.0008485720027238131
227,0.0007689180201850832
228,0.000685646606143564
229,8.096945384750143e-05
230,0.00019898859318345785
231,0.0014943508431315422
232,0.0003115194267593324
233,0.0005110332276672125
234,0.0003437457780819386
235,0.0006377936224453151
236,0.00023083203996066004
237,0.0006636634934693575
238,0.0002317609905730933
239,0.00013869404210709035
240,0.0003790968330577016
241,0.0012447398621588945
242,0.00028971073334105313
243,0.0005373811582103372
244,0.0005497164092957973
245,0.0003497626748867333
246,0.0003652521700132638
247,0.000331192190060392
248,0.00020140831475146115
249,0.0002184483892051503
250,0.00018958600412588567
251,0.00011250400712015107
252,0.00045532360672950745
253,0.000561739259865135
254,0.00024158271844498813
255,0.0007545865373685956
256,0.0007269284687936306
257,0.0006462024757638574
258,0.00040836926200427115
259,0.000396963965613395
260,0.00040694515337236226
261,0.00033792114118114114
262,0.0002650769893079996
263,0.0001521575468359515
264,0.0004301893641240895
265,0.0002543089212849736
266,0.00035428651608526707
267,0.00029785800143145025
268,0.0005902613629586995
269,0.0005537545075640082
270,0.0007429035031236708
271,7.169428863562644e-05
272,0.00011775928578572348
273,0.00048200416495092213
274,0.0006871756631880999
275,0.0004275150131434202
276,0.0022651099134236574
277,0.00028361001750454307
278,0.0003754858626052737
279,0.0005453925114125013
280,0.00011174347309861332
281,0.0005109430640004575
282,0.0003153245197609067
283,0.0006201438372954726
284,0.00012082305329386145
285,0.0004911748110316694
286,0.00034040355239994824
287,0.0003387944307178259
288,0.0007157080108299851
289,0.0005732938880100846
290,0.00030395248904824257
291,0.0014576097019016743
292,0.00012233205779921263
293,0.00011995815293630585
294,0.000407393992645666
295,0.0008112351060844958
296,0.00034879843587987125
297,7.24517012713477e-05
298,0.0007270979695022106
299,0.00025161533267237246
300,0.00010045568342320621
301,0.0003131776466034353
302,0.00040884281042963266
303,0.0002244760689791292
304,0.0005136810941621661
305,0.00022762702428735793
306,0.0006316027720458806
307,0.000493145955260843
308,0.00011263994383625686
309,0.0015932968817651272
310,0.00025415848358534276
311,0.0004467350372578949
312,0.0011117048561573029
313,0.0001351543760392815
314,0.0002672476985026151
315,0.00023928063455969095
316,0.0007356546120718122
317,0.00021860611741431057
318,0.000292367534711957
319,0.0005517544923350215
320,0.00035513032344169915
321,0.00041375591536052525
322,0.0004072690207976848
323,0.00021618770551867783
324,0.002402020851150155
325,0.0005113094230182469
326,0.00042306160321459174
327,0.00022112744045443833
328,8.63973909872584e-05
329,0.000114382644824218
330,0.0002931439667008817
331,0.00037133428850211203
332,0.0004911086871288717
333,0.00011717430606950074
334,0.00044062198139727116
335,0.0002488036116119474
336,0.00038550057797692716
337,0.0001224019651999697
338,0.00011378881026757881
339,0.0004884430672973394
340,0.000420849013607949
341,0.0001561377284815535
342,0.00014074728824198246
343,0.0004648985050152987
344,0.0005541133577935398
345,0.00022687109594698995
346,0.00025794567773118615
347,0.00032000543433241546
348,0.00019160631927661598
349,0.0002102831786032766
350,0.0003279072989244014
351,0.0007114865002222359
352,0.0006812935462221503
353,0.00162934057880193
354,0.0006198845221661031
355,0.00020108216267544776
356,0.00017239758744835854
357,0.0005771158030256629
358,0.00043980497866868973
359,0.0002434470661683008
360,0.00036740663927048445
361,0.00020180614956188947
362,0.00035794294672086835
363,0.0004178906965535134
364,0.00010372676479164511
365,0.0003112815029453486
366,0.0005229343078099191
367,0.00042604489135555923
368,0.00027684049564413726
369,0.0007516477489843965
370,0.0004824116185773164
371,0.0015645110979676247
372,0.00028602490783669055
373,0.0005498019745573401
374,0.0002544750750530511
375,0.0003101392067037523
376,0.0003338671231176704
377,0.00040955294389277697
378,0.0007968281861394644
379,0.0009304463746957481
380,0.000542965077329427
381,0.00017382032820023596
382,0.000203019953914918
383,0.0005251147667877376
384,0.00032197695691138506
385,0.0004499037459027022
386,0.0018993779085576534
387,0.00015485052426811308
388,0.00010636343358783051
389,0.0007368828519247472
390,0.0001367525546811521
391,0.0004368880472611636
392,0.00045030287583358586
393,0.00011722282943082973
394,0.00028430725797079504
395,9.67091036727652e-05
396,0.00042708395631052554
397,0.0004365962231531739
398,0.00037708942545577884
399,0.00032377851312048733
400,0.0004950148286297917
401,0.001347865560092032
402,0.0003477294812910259
403,0.0005269831162877381
404,0.0004216479428578168
405,0.0009754376951605082
406,0.0001745797198964283
407,0.00020521444093901664
408,0.00038123290869407356
409,0.00037298782262951136
410,0.0008235840359702706
411,7.997534703463316e-05
412,0.00046041267341934144
413,0.0006832659128122032
414,0.0013738851994276047
415,0.0004547528806142509
416,0.0005156155093573034
417,0.00013927684631198645
418,0.0005768467090092599
419,0.0005389943835325539
420,0.00013311687507666647
421,0.00037840395816601813
422,0.0006967721856199205
423,0.000500958354678005
424,0.00038967118598520756
425,0.00027703511295840144
426,0.0004343008913565427
427,0.00021671158901881427
428,0.00013303615560289472
429,0.0010857390007004142
430,0.0003266976564191282
431,0.0003597497707232833
432,0.0005981666618026793
433,0.00040683808038011193
434,0.00012481903831940144
435,0.00024640662013553083
436,0.0002132639492629096
437,0.0005729406839236617
438,0.00027602273621596396
439,0.0005385642871260643
440,0.0007474088342860341
441,0.0005249510868452489
442,0.00016647030133754015
443,0.00019876554142683744
444,0.00022831620299257338
445,0.00031984265660867095
446,0.00022616665228269994
447,0.0007701769936829805
448,0.0005116772372275591
449,0.0003504343330860138
450,0.00031724892323836684
451,0.00015887676272541285
452,0.0005119838751852512
453,0.0009603613871149719
454,0.0009667323320172727
455,0.00033457152312621474
456,0.00015002871805336326
457,0.00032898018253035843
458,0.0001516990887466818
459,0.00011965921294176951
460,0.0006434103124774992
461,0.0001464046217733994
462,0.00013139517977833748
463,0.00035378162283450365
